competitor_id,company_name,industry,sub_industry,description,target_audience,problem_solved,solution,business_model,revenue_model,pricing_model,main_features,technology,geographic_market,funding,company_status,source,source_url,last_verified_date
CMP-000005,004 Technologies,SaaS,Software,,,,,,,,,,United States,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000018,10-20 Media,E-commerce,E-Commerce,,,,,,,,,,United States,2050000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000019,10 Minutes With,EdTech,Education,,,,,,,,,,United Kingdom,4400000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000049,12 Labs,HealthTech,Health and Wellness|Personal Health,,,,,,,,,,United States,935000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000087,1871,Other / Unspecified,Designers|Internet|Non Profit|Startups,,,,,,,,,,United States,2500000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000097,1d4 Pty,Other / Unspecified,Geospatial|Maps|Outdoors,,,,,,,,,,Norway,40000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000104,Babyscripts,HealthTech,Health and Wellness|Mobile Health,,,,,,,,,,United States,2100000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000122,1World Online,SaaS,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,,,,,,,,,,United States,4000000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000134,2100b Sausalito LLC.,MarTech,Advertising|Direct Marketing|Social Media,,,,,,,,,,United States,50000.0,closed,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000145,23andMe,HealthTech,Biotechnology|Search,,,,,,,,,,United States,227049900.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000186,2heuresavant,Media & Entertainment,Discounts|Entertainment|Internet|Ticketing,,,,,,,,,,France,33457.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000198,2RedBeans,Media & Entertainment,Curated Web|Online Dating|Social Network Media,,,,,,,,,,United States,2300000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000201,2threads,Media & Entertainment,Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media,,,,,,,,,,Australia,300000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000232,365 docobites,Media & Entertainment,Entertainment,,,,,,,,,,Australia,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000241,Basecamp,Media & Entertainment,Project Management|SaaS|Social Media|Software,,,,,,,,,,United States,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000246,3Cinteractive,MarTech,Business Services|Marketing Automation|Mobile,,,,,,,,,,United States,6000000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000282,3DIVAZ,Other / Unspecified,,,,,,,,,,,,202250.031601567,closed,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000288,3DPhotoWorks,Other / Unspecified,Printing,,,,,,,,,,United States,3000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000295,3DT,FinTech,Finance|Software|Venture Capital,,,,,,,,,,United States,140000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000297,3FLOZ,HealthTech,Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel,,,,,,,,,,United States,1387500.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000305,3Jam,Other / Unspecified,Messaging|SMS,,,,,,,,,,United States,4000000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000308,3LM,Other / Unspecified,Android|Enterprises|Mobile,,,,,,,,,,,1500000.0,acquired,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000316,3PointData,Other / Unspecified,,,,,,,,,,,,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000328,3TEN8,SaaS,Software,,,,,,,,,,United States,1670000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000375,4Med Centra Medyczne,Other / Unspecified,,,,,,,,,,,,,closed,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000379,4PSA,SaaS,Cloud Computing|Messaging|Telephony|Unifed Communications,,,,,,,,,,Romania (non-standard code),6500000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000381,4s91.com,Other / Unspecified,Mobile,,,,,,,,,,China,10000000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000414,51 Give,ClimateTech,Carbon|Environmental Innovation|Green|Nonprofits,,,,,,,,,,China,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000419,51CTO,Other / Unspecified,,,,,,,,,,,China,16000000.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000420,51edj,E-commerce,E-Commerce,,,,,,,,,,China,1158814.0,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000421,51edu,EdTech,Education,,,,,,,,,,China,,operating,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
CMP-000444,5by,Other / Unspecified,Apps|Photography|Photo Sharing,,,,,,,,,,United States,,acquired,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13
