startup_id,startup_name,company_description,website,founded_year,founded_country,headquarters_country,headquarters_city,industry,sub_industry,business_category,target_audience,customer_type,problem_solved,solution_description,technology_used,business_model,revenue_model,pricing_model,revenue_stream,geographic_market,market_size_category,market_growth_category,demand_level,competition_level,competitor_count,total_funding_usd,funding_rounds,last_funding_date,last_funding_amount_usd,major_investors,employee_count,startup_stage,latest_known_valuation_usd,startup_status,acquisition_status,acquisition_date,ipo_status,ipo_date,shutdown_date,success_indicator,success_label,outcome_reason,data_quality,source,source_url,last_verified_date,possible_duplicate_flag
LL-000005,004 Technologies,,http://004gmbh.de/en/004-interact,2010.0,United States,United States,Champaign,SaaS,Software,Software,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6734.0,,1.0,2014-07-24,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000018,10-20 Media,,http://www.10-20media.com,2001.0,United States,United States,Woodbine,E-commerce,E-Commerce,E-Commerce,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),1654.0,2050000.0,4.0,2011-12-28,,,,Growth stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000019,10 Minutes With,,http://10minuteswith.com,2013.0,United Kingdom,United Kingdom,London,EdTech,Education,Education,,,,,,,,,,United Kingdom,Unknown,Unknown,Unknown,Medium (dataset-derived),121.0,4400000.0,2.0,2014-10-09,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000049,12 Labs,,http://www.getapplause.com/,2014.0,United States,United States,Palo Alto,HealthTech,Health and Wellness|Personal Health,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6881.0,935000.0,1.0,2014-11-26,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000087,1871,,http://www.1871.com,,United States,United States,Chicago,Other / Unspecified,Designers|Internet|Non Profit|Startups,Designers,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6495.0,2500000.0,1.0,2014-06-17,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000097,1d4 Pty,,http://www.immortaloutdoors.com,,Norway,Norway,,Other / Unspecified,Geospatial|Maps|Outdoors,,,,,,,,,,,Norway,Unknown,Unknown,Unknown,Low (dataset-derived),29.0,40000.0,1.0,2012-04-11,,,,Seed (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000104,Babyscripts,,http://www.getbabyscripts.com,2013.0,United States,United States,Washington,HealthTech,Health and Wellness|Mobile Health,Mobile Health,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6881.0,2100000.0,3.0,2015-04-10,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000122,1World Online,,http://1worldonline.com,2011.0,United States,United States,San Jose,SaaS,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,Enterprise Software,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6734.0,4000000.0,3.0,2015-08-13,,,,Early stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000134,2100b Sausalito LLC.,,http://2100b.com,2011.0,United States,United States,Sausalito,MarTech,Advertising|Direct Marketing|Social Media,,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),2413.0,50000.0,2.0,2013-01-01,,,,Closed,,closed,Not acquired,,Not IPO'd,,,Failed / Closed,0.0,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase,https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
LL-000145,23andMe,,http://23andme.com,2006.0,United States,United States,Mountain View,HealthTech,Biotechnology|Search,Biotechnology,,,,,,,,,,United States,Unknown,Unknown,Unknown,High (dataset-derived),6881.0,227049900.0,8.0,2015-07-03,,,,Growth stage (inferred),,operating,Not acquired,,Not IPO'd,,,Active / Ongoing,,Derived from Crunchbase `status` field per documented rule (see Data_Dictionary),REAL VERIFIED DATA (source dataset) + DERIVED classification fields,Kaggle: big-startup-secsees-fail-dataset-from-crunchbase + investments-crunchbase (market enrichment),https://www.kaggle.com/datasets/yanmaksi/big-startup-secsees-fail-dataset-from-crunchbase,2026-08-13,False
