startup_id,industry,sub_industry,target_audience,customer_type,problem_solved,technology_used,business_model,revenue_model,market_size_category,market_growth_category,competition_level,founded_year,founded_country,geographic_market,total_funding_usd__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,funding_rounds__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,employee_count__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,startup_stage__HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION,success_label,success_indicator,leakage_warning
LL-000005,SaaS,Software,,,,,,,Unknown,Unknown,High (dataset-derived),2010.0,United States,United States,,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000018,E-commerce,E-Commerce,,,,,,,Unknown,Unknown,High (dataset-derived),2001.0,United States,United States,2050000.0,4.0,,Growth stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000019,EdTech,Education,,,,,,,Unknown,Unknown,Medium (dataset-derived),2013.0,United Kingdom,United Kingdom,4400000.0,2.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000049,HealthTech,Health and Wellness|Personal Health,,,,,,,Unknown,Unknown,High (dataset-derived),2014.0,United States,United States,935000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000087,Other / Unspecified,Designers|Internet|Non Profit|Startups,,,,,,,Unknown,Unknown,High (dataset-derived),,United States,United States,2500000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000097,Other / Unspecified,Geospatial|Maps|Outdoors,,,,,,,Unknown,Unknown,Low (dataset-derived),,Norway,Norway,40000.0,1.0,,Seed (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000104,HealthTech,Health and Wellness|Mobile Health,,,,,,,Unknown,Unknown,High (dataset-derived),2013.0,United States,United States,2100000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000122,SaaS,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,4000000.0,3.0,,Early stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000134,MarTech,Advertising|Direct Marketing|Social Media,,,,,,,Unknown,Unknown,High (dataset-derived),2011.0,United States,United States,50000.0,2.0,,Closed,0.0,Failed / Closed,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
LL-000145,HealthTech,Biotechnology|Search,,,,,,,Unknown,Unknown,High (dataset-derived),2006.0,United States,United States,227049900.0,8.0,,Growth stage (inferred),,Active / Ongoing,"Columns suffixed HISTORICAL_NOT_FOR_POINT_IN_TIME_PREDICTION reflect the company's CURRENT/LATEST known state, not its state at founding - do not use as predictive input features for a point-in-time model; see Data_Dictionary."
